Title,Season,Episode,Date
"DEATH NOTE","Season 1","Encounter","1/19/15"
"DEATH NOTE","Season 1","Glare","1/19/15"
"DEATH NOTE","Season 1","Overcast","1/19/15"
"DEATH NOTE","Season 1","Unraveling","1/19/15"
"DEATH NOTE","Season 1","Tactics","1/19/15"
"DEATH NOTE","Season 1","Pursuit","1/18/15"
"DEATH NOTE","Season 1","Dealings","1/18/15"
"DEATH NOTE","Season 1","Confrontation","1/18/15"
"DEATH NOTE","Season 1","Rebirth","1/18/15"
"Archer","Season 3","Heart of Archness, Part 3","1/17/15"
"Archer","Season 3","Heart of Archness, Part 2","1/17/15"
"Archer","Season 3","Heart of Archness, Part 1","1/17/15"
"Archer","Season 2","Double Trouble","1/17/15"
"Archer","Season 2","White Nights","1/17/15"
"Archer","Season 2","Jeu Monégasque","1/17/15"
"Archer","Season 2","El Secuestro","1/17/15"
"Archer","Season 2","Placebo Effect","1/17/15"
"Archer","Season 2","Stage Two","1/17/15"
"Archer","Season 2","Movie Star","1/17/15"
"Archer","Season 2","Tragical History","1/16/15"
"Archer","Season 2","The Double Deuce","1/16/15"
"Archer","Season 2","Pipeline Fever","1/16/15"
"Doctor Who","Season 3","The Sound of Drums","1/15/15"
"Archer","Season 2","Blood Test","1/15/15"
"Archer","Season 2","A Going Concern","1/15/15"
"Archer","Season 2","Swiss Miss","1/14/15"
"Archer","Season 1","Dial M for Mother","1/12/15"
"Star Trek: Voyager","Season 1","Caretaker: Parts 1 & 2","1/9/15"
"Star Trek: The Next Generation","Season 1","Encounter at Farpoint: Parts 1 & 2","1/6/15"
"Community","Season 1","Community","1/5/15"
"Marco Polo","Season 1","The Wayfarer","1/2/15"
"Video Game High School","Season 1","Everybody Comes to Brian's","1/1/15"
"Video Game High School","Season 1","The Long Arm of the Law","1/1/15"
"Video Game High School","Season 1","Any Game in the House","1/1/15"
"Video Game High School","Season 1","Welcome to VGHS","1/1/15"
"Doctor Who","Season 6","The Doctor, The Widow and the Wardrobe","12/31/14"
"Doctor Who","Season 7","The Name of the Doctor","12/31/14"
"Doctor Who","Season 1","Rose","12/31/14"
"Doctor Who","Season 7","The Time of the Doctor","12/31/14"
"Doctor Who","Season 7","The Day of the Doctor","12/30/14"
"Avatar: The Last Airbender","Book 3","The Day of the Black Sun: Part 1","12/11/19"
"Avatar: The Last Airbender","Book 3","Nightmares and Daydreams","12/11/19"
"Avatar: The Last Airbender","Book 3","The Puppetmaster","12/11/19"
"Avatar: The Last Airbender","Book 3","The Runaway","12/11/19"
"Avatar: The Last Airbender","Book 3","Sokka's Master","12/11/19"
"Avatar: The Last Airbender","Book 3","The Awakening","12/11/19"
"Avatar: The Last Airbender","Book 3","The Headband","11/24/19"
"Avatar: The Last Airbender","Book 3","Sozin's Comet: Part 4: Avatar Aang","8/18/18"
"Avatar: The Last Airbender","Book 3","Sozin's Comet: Part 3: Into the Inferno","8/18/18"
"Avatar: The Last Airbender","Book 3","Sozin's Comet: Part 2: The Old Masters","8/18/18"
"Avatar: The Last Airbender","Book 3","Sozin's Comet: Part 1: The Phoenix King","8/18/18"
"Avatar: The Last Airbender","Book 3","The Ember Island Players","8/18/18"
"Avatar: The Last Airbender","Book 3","The Southern Raiders","8/18/18"
"Avatar: The Last Airbender","Book 3","The Boiling Rock: Part 2","8/18/18"
"Avatar: The Last Airbender","Book 3","The Boiling Rock: Part 1","8/18/18"
"Avatar: The Last Airbender","Book 3","The Firebending Masters","8/18/18"
"Avatar: The Last Airbender","Book 3","The Western Air Temple","8/18/18"
"Avatar: The Last Airbender","Book 3","The Day of the Black Sun: Part 2","8/17/18"
"Avatar: The Last Airbender","Book 2","Lake Laogai","8/17/18"
"Avatar: The Last Airbender","Book 3","The Avatar and the Firelord","8/16/18"
"Avatar: The Last Airbender","Book 3","The Beach","8/16/18"
"Avatar: The Last Airbender","Book 3","The Painted Lady","8/16/18"
"Avatar: The Last Airbender","Book 2","The Crossroads of Destiny","8/16/18"
"Avatar: The Last Airbender","Book 2","The Guru","8/16/18"
"Avatar: The Last Airbender","Book 2","The Earth King","8/16/18"
"Avatar: The Last Airbender","Book 2","Appa's Lost Days","8/15/18"
"Avatar: The Last Airbender","Book 2","Tales of Ba Sing Se","8/15/18"
"Avatar: The Last Airbender","Book 2","City of Walls and Secrets","8/15/18"
"Avatar: The Last Airbender","Book 2","Journey to Ba Sing Se: Part 2: The Drill","8/15/18"
"Avatar: The Last Airbender","Book 2","Journey to Ba Sing Se: Part 1: The Serpent's Pass","8/15/18"
"Avatar: The Last Airbender","Book 2","The Desert","8/15/18"
"Avatar: The Last Airbender","Book 2","The Library","8/15/18"
"Avatar: The Last Airbender","Book 2","Bitter Work","8/15/18"
"Avatar: The Last Airbender","Book 2","The Chase","8/15/18"
"Avatar: The Last Airbender","Book 2","Zuko Alone","8/15/18"
"Avatar: The Last Airbender","Book 2","The Blind Bandit","8/15/18"
"Avatar: The Last Airbender","Book 2","Avatar Day","8/14/18"
"Avatar: The Last Airbender","Book 2","The Swamp","8/14/18"
"Avatar: The Last Airbender","Book 2","Return to Omashu","8/14/18"
"Avatar: The Last Airbender","Book 2","The Cave of Two Lovers","8/14/18"
"Avatar: The Last Airbender","Book 2","The Avatar State","8/5/18"
"Avatar: The Last Airbender","Book 1","The Siege of the North: Part 2","7/23/18"
"Avatar: The Last Airbender","Book 1","The Blue Spirit","7/23/18"
"Avatar: The Last Airbender","Book 1","The Deserter","7/23/18"
"Avatar: The Last Airbender","Book 1","The Boy in the Iceberg","7/23/18"
"Green Eggs and Ham","Season 1","Fox","12/11/19"
"Green Eggs and Ham","Season 1","Train","12/11/19"
"Green Eggs and Ham","Season 1","Car","12/11/19"
"Green Eggs and Ham","Season 1","Here","12/10/19"
"Archer","Season 10","The Leftovers","12/10/19"
"Black Mirror","Season 5","Striking Vipers","12/10/19"
"BoJack Horseman","Season 6","The Kidney Stays in the Picture","12/10/19"
"BoJack Horseman","Season 6","A Little Uneven, Is All","12/10/19"
"BoJack Horseman","Season 6","Surprise!","12/10/19"
"BoJack Horseman","Season 6","Feel-Good Story","12/10/19"
"BoJack Horseman","Season 6","The New Client","12/10/19"
"BoJack Horseman","Season 5","The Showstopper","12/10/19"
"BoJack Horseman","Season 5","Head in the Clouds","12/10/19"
"BoJack Horseman","Season 5","Ancient History","12/9/19"
"Castlevania","Season 2","End Times","12/9/19"
"Castlevania","Season 2","For Love","12/9/19"
"Castlevania","Season 2","The River","12/9/19"
"Castlevania","Season 2","Last Spell","12/9/19"
"Castlevania","Season 2","Broken Mast","12/9/19"
"Castlevania","Season 2","Shadow Battles","12/9/19"
"Castlevania","Season 2","Old Homes","12/9/19"
"Castlevania","Season 2","War Council","12/9/19"
"InuYasha","Season 2","Father's Old Enemy: Ryukotsusei","12/2/19"
"Castlevania","Season 1","Monument","12/2/19"
"Castlevania","Season 1","Labyrinth","12/2/19"
"Castlevania","Season 1","Necropolis","12/2/19"
"Castlevania","Season 1","Witchbottle","12/2/19"
"Final Space","Season 2","The Sixth Key","12/2/19"
"Final Space","Season 2","The Descent Into Darkness","12/2/19"
"Final Space","Season 2","The Set Up","12/2/19"
"Final Space","Season 2","The Lost Spy","12/2/19"
"Final Space","Season 2","The Closer You Get","12/2/19"
"Final Space","Season 2","The Remembered","12/2/19"
"Final Space","Season 2","The First Times They Met","12/2/19"
"Final Space","Season 2","Arachnitects","12/2/19"
"Code Geass: Lelouch of the Rebellion","Season 1","Episode 3","12/1/19"
"Code Geass: Lelouch of the Rebellion","Season 1","Episode 2","12/1/19"
"Code Geass: Lelouch of the Rebellion","Season 1","Episode 1","12/1/19"
"Final Space","Season 2","The Notorious Mrs. Goodspeed","12/1/19"
"Final Space","Season 2","The Other Side","12/1/19"
"Final Space","Season 2","The Grand Surrender","12/1/19"
"Final Space","Season 2","The Happy Place","12/1/19"
"Final Space","Season 2","The Toro Regatta","12/1/19"
"The Dragon Prince","Season 3","The Final Battle","12/1/19"
"The Dragon Prince","Season 3","Dragonguard","11/26/19"
"The Dragon Prince","Season 3","Hearts of Cinder","11/26/19"
"The Dragon Prince","Season 3","Thunderfall","11/26/19"
"The Dragon Prince","Season 3","Heroes and Masterminds","11/26/19"
"The Dragon Prince","Season 3","The Midnight Desert","11/26/19"
"The Dragon Prince","Season 3","Ghost","11/26/19"
"The Dragon Prince","Season 3","The Crown","11/26/19"
"The Dragon Prince","Season 3","Sol Regem","11/26/19"
"BoJack Horseman","Season 5","Mr. Peanutbutter's Boos","11/17/19"
"BoJack Horseman","Season 5","INT. SUB","11/17/19"
"BoJack Horseman","Season 5","Free Churro","11/17/19"
"BoJack Horseman","Season 5","The Amelia Earhart Story","11/17/19"
"Final Space","Season 1","Chapter Ten","11/17/19"
"Final Space","Season 1","Chapter Nine","11/17/19"
"Final Space","Season 1","Chapter Eight","11/17/19"
"Final Space","Season 1","Chapter Seven","11/17/19"
"Final Space","Season 1","Chapter Six","11/17/19"
"Final Space","Season 1","Chapter Five","11/17/19"
"Final Space","Season 1","Chapter Four","11/17/19"
"Final Space","Season 1","Chapter Three","11/17/19"
"Final Space","Season 1","Chapter Two","11/17/19"
"The Dragon Prince","Season 2","Breathe","11/17/19"
"The Dragon Prince","Season 2","The Book of Destiny","11/17/19"
"The Dragon Prince","Season 2","Fire and Fury","11/17/19"
"The Dragon Prince","Season 2","Heart of a Titan","11/17/19"
"The Dragon Prince","Season 2","Breaking the Seal","11/17/19"
"The Dragon Prince","Season 2","Voyage of the Ruthless","11/17/19"
"The Dragon Prince","Season 2","Smoke and Mirrors","11/17/19"
"The Dragon Prince","Season 2","Half Moon Lies","11/17/19"
"The Dragon Prince","Season 2","A Secret and a Spark","11/17/19"
"The Dragon Prince","Season 1","Wonderstorm","11/17/19"
"The Dragon Prince","Season 1","Cursed Caldera","11/17/19"
"The Dragon Prince","Season 1","The Dagger and the Wolf","11/17/19"
"The Dragon Prince","Season 1","An Empty Throne","11/17/19"
"The Dragon Prince","Season 1","Through the Ice","11/16/19"
"The Dragon Prince","Season 1","Bloodthirsty","11/16/19"
"The Dragon Prince","Season 1","Moonrise","11/16/19"
"The Dragon Prince","Season 1","What Is Done","11/16/19"
"Archer","Season 10","Happy Borthday","10/27/19"
"Archer","Season 10","Bort the Garj","10/27/19"
"Big Mouth","Season 1","Ejaculation","10/23/19"
"Big Mouth","Season 2","Steve the Virgin","10/23/19"
"Big Mouth","Season 2","The Shame Wizard","10/23/19"
"Seis Manos","Season 1","The Empty Place","10/23/19"
"Seis Manos","Season 1","Between This World and the Next","10/23/19"
"Seis Manos","Season 1","Reunion","10/23/19"
"Seis Manos","Season 1","Blindfold","10/22/19"
"Seis Manos","Season 1","Caged Dogs","10/22/19"
"Seis Manos","Season 1","Night of the Wolves","10/22/19"
"Seis Manos","Season 1","Grief","10/22/19"
"Seis Manos","Season 1","Toppled","10/22/19"
"Ingress: The Animation","Season 1","Nature - Civilization - Soul","6/30/19"
"Ingress: The Animation","Season 1","Enlightenment - Resistance - Chaos","6/30/19"
"Ingress: The Animation","Season 1","Journey - Portal - Potential","6/30/19"
"Ingress: The Animation","Season 1","Separate - Together - Pursue","6/30/19"
"Ingress: The Animation","Season 1","Advance - Discover - Conflict","6/30/19"
"Ingress: The Animation","Season 1","Escape - Past - Destiny","6/30/19"
"Ingress: The Animation","Season 1","Begin - Danger - Message","6/29/19"
"Animal Kingdom","Season 1","We Don't Hurt People","6/29/19"
"Animal Kingdom","Season 1","Pilot","6/29/19"
"Easy","Season 1","Art and Life","6/9/19"
"Easy","Season 1","Brewery Brothers","6/9/19"
"Easy","Season 1","Vegan Cinderella","6/9/19"
"Easy","Season 1","The F**king Study","6/9/19"
"Gotham","Season 4","No Man's Land","6/3/19"
"Gotham","Season 4","One Bad Day","6/3/19"
"Gotham","Season 4","That Old Corpse","6/3/19"
"Gotham","Season 4","To Our Deaths and Beyond","6/3/19"
"Gotham","Season 4","That's Entertainment","6/3/19"
"Gotham","Season 4","Mandatory Brunch Meeting","6/3/19"
"Gotham","Season 4","One of My Three Soups","6/3/19"
"Gotham","Season 4","The Sinking Ship, The Grand Applause","6/2/19"
"Gotham","Season 4","Reunion","6/2/19"
"Gotham","Season 4","A Beautiful Darkness","6/2/19"
"Gotham","Season 4","Pieces of a Broken Mirror","6/2/19"
"The Dragon Prince","Season 1","Echoes of Thunder","5/9/19"
"Sex Education","Season 1","Episode 4","4/21/19"
"Gotham","Season 4","Queen Takes Knight","4/19/19"
"Gotham","Season 4","Things That Go Boom","4/19/19"
"Gotham","Season 4","Let Them Eat Pie","4/19/19"
"Gotham","Season 4","Stop Hitting Yourself","4/19/19"
"Gotham","Season 4","A Day in the Narrows","4/19/19"
"Gotham","Season 4","Hog Day Afternoon","4/12/19"
"Gotham","Season 4","The Blade's Path","4/12/19"
"Osmosis","Season 1","The Test","4/12/19"
"Marvel's Daredevil","Season 3","Please","4/12/19"
"The Flash","Season 1","The Sound and the Fury","4/12/19"
"Carmen Sandiego","Season 1","The Duke of Vermeer Caper","4/12/19"
"Gotham","Season 4","The Demon's Head","4/11/19"
"Gotham","Season 4","They Who Hide Behind Masks","4/9/19"
"Gotham","Season 4","The Fear Reaper","4/7/19"
"Gotham","Season 4","Pax Penguina","4/7/19"
"Homeland","Season 1","Pilot","4/7/19"
"The OA","Part I","Chapter 5: Paradise","4/7/19"
"The OA","Part I","Chapter 4: Away","5/12/19"
"The OA","Part I","Chapter 3: Champion","5/12/19"
"The OA","Part I","Chapter 2: New Colossus","5/12/19"
"The OA","Part I","Chapter 1: Homecoming","5/9/19"
"Disenchantment","Part 2","The Disenchantress","10/27/19"
"3Below: Tales of Arcadia","Part 1","Terra Incognita Part One","1/18/19"
"Paradise PD","Part 1","Welcome to Paradise","9/4/18"
"Follow This","Part 1","The Internet Whisperers","8/25/18"
"Disenchantment","Part 1","A Princess, an Elf, and a Demon Walk Into a Bar","8/24/18"
"Disenchantment","Part 1","Dreamland Falls","8/21/18"
"Disenchantment","Part 1","To Thine Own Elf Be True","8/21/18"
"Disenchantment","Part 1","The Limits of Immortality","8/21/18"
"Disenchantment","Part 1","Love's Tender Rampage","8/20/18"
"Disenchantment","Part 1","Swamp and Circumstance","8/20/18"
"Disenchantment","Part 1","Faster, Princess! Kill! Kill!","8/18/18"
"Disenchantment","Part 1","Castle Party Massacre","8/18/18"
"Disenchantment","Part 1","The Princess of Darkness","8/18/18"
"Disenchantment","Part 1","For Whom the Pig Oinks","8/18/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Eye of Heaven, Gateway of Earth","2/16/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Lost Light","2/16/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Combined Strength","2/16/18"
"Fate/Apocrypha","Part 1","The Saint Departs","2/14/18"
"Fate/Apocrypha","Part 1","Apocrypha: The Great Holy Grail War","2/14/18"
"Fullmetal Alchemist: Brotherhood","Part 5","The Other Side of the Gateway","2/2/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Journey's End","2/2/18"
"Fullmetal Alchemist: Brotherhood","Part 5","A Fierce Counterattack","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","He Who Would Swallow God","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Sacrifices","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Eternal Leave","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","The Return of the Fuhrer","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","The Adults' Way of Life","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Beyond the Inferno","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 5","Flame of Vengeance","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","The Immortal Legion","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Upheaval in Central","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Filial Affection","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","The Oath in the Tunnel","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Emissary of Darkness","1/28/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Looming Shadows","1/26/18"
"Fullmetal Alchemist: Brotherhood","Part 4","The Promised Day","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Revving at Full-throttle","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Bite of the Ant","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 4","Signs of a Counter Offensive","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 4","The Abyss","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 4","The Dwarf in the Flask","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Daydream","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Conflict at Baschool","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The First Homunculus","1/25/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Family Portrait","1/24/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The Shape of This Country","1/24/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Ice Queen","1/23/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The Northern Wall of Briggs","1/23/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The Fuhrer's Son","1/23/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The 520 Cens Promise","1/23/18"
"Fullmetal Alchemist: Brotherhood","Part 3","The Ishvalan War of Extermination","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Struggle of the Fool","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Father","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 3","Interlude Party","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Reunion","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Doorway of Darkness","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Inside the Belly","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Girl on the Battlefield","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Backs in the Distance","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Advance of the Fool","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Father Before the Grave","1/22/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Death of the Undying","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 2","The Arrogant Palm of a Small Human","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Cold Flame","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Footsteps of a Comrade-in-Arms","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Envoy from the East","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 2","Those Who Lurk Underground","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Beasts of Dublith","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","One is All, All is One","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Miracle at Rush Valley","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Separate Destinations","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Created Feelings","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","The Fifth Laboratory","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Hidden Truths","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Road of Hope","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Rain of Sorrows","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","An Alchemist's Anguish","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","City of Heresy","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","The First Day","1/21/18"
"Fullmetal Alchemist: Brotherhood","Part 1","Fullmetal Alchemist","1/21/18"
"Fate/stay night: Unlimited Blade Works","Part 1","Finding the Will to Fight","5/14/17"
"Fate/stay night: Unlimited Blade Works","Part 1","The First Battle","5/14/17"
"Fate/stay night: Unlimited Blade Works","Part 1","The Curtain Goes Up","5/14/17"
"Fate/stay night: Unlimited Blade Works","Part 1","Winter Days, A Fateful Night","5/14/17"
"Fate/stay night: Unlimited Blade Works","Part 1","Prologue","5/14/17"
"Love, Death & Robots","Volume 1","THE SECRET WAR","3/16/19"
"Love, Death & Robots","Volume 1","ALTERNATE HISTORIES","3/16/19"
"Love, Death & Robots","Volume 1","ICE AGE","3/16/19"
"Love, Death & Robots","Volume 1","BLINDSPOT","3/16/19"
"Love, Death & Robots","Volume 1","ZIMA BLUE","3/16/19"
"Love, Death & Robots","Volume 1","LUCKY 13","3/16/19"
"Love, Death & Robots","Volume 1","FISH NIGHT","3/16/19"
"Love, Death & Robots","Volume 1","HELPING HAND","3/16/19"
"Love, Death & Robots","Volume 1","SHAPE-SHIFTERS","3/16/19"
"Love, Death & Robots","Volume 1","THE DUMP","3/16/19"
"Love, Death & Robots","Volume 1","GOOD HUNTING","3/16/19"
"Love, Death & Robots","Volume 1","BEYOND THE AQUILA RIFT","3/16/19"
"Love, Death & Robots","Volume 1","WHEN THE YOGURT TOOK OVER","3/16/19"
"Love, Death & Robots","Volume 1","THREE ROBOTS","3/16/19"
"Love, Death & Robots","Volume 1","SUCKER OF SOULS","3/16/19"
"Love, Death & Robots","Volume 1","THE WITNESS","3/16/19"
"Love, Death & Robots","Volume 1","SONNIE'S EDGE","3/16/19"
"Love, Death & Robots","Volume 1","SUITS","3/16/19"
"Chef's Table","Volume 1","Massimo Bottura","10/20/18"
"Dear White People","Volume 1","Chapter I","5/2/17"
"RWBY","Volume 2","Volume 2","2/21/15"
"RWBY","Volume 1","Volume 1","2/21/15"
"Red vs. Blue","Volume 5","The Blood Gulch Chronicles: Vol. 5","2/9/15"
"Red vs. Blue","Volume 1","The Blood Gulch Chronicles: Vol. 1","2/9/15"
"Nature's Weirdest Events","Series 3","Episode 1","12/25/18"
"The IT Crowd","Series 1","Calamity Jen","11/1/17"
"The IT Crowd","Series 1","Yesterday's Jam","11/1/17"
"Sherlock","Series 2","The Hounds of Baskerville","7/18/15"
"Sherlock","Series 1","A Study in Pink","7/18/15"
"Devilman Crybaby","Limited Series","Come, Akira","1/28/18"
"Devilman Crybaby","Limited Series","Believe Me!","1/28/18"
"Devilman Crybaby","Limited Series","One Hand Is Enough","1/28/18"
"Devilman Crybaby","Limited Series","I Need You","1/28/18"
"Devilman Crybaby","Limited Series","Crybaby","1/28/18"
"Devilman Crybaby","Limited Series","Go to Hell, You Mortals","1/28/18"
"Devilman Crybaby","Limited Series","I Must Know Myself","1/28/18"
"Devilman Crybaby","Limited Series","Weak Humans, Wise Demons","1/28/18"
"Devilman Crybaby","Limited Series","Neither Demon Nor Human","1/28/18"
"Devilman Crybaby","Limited Series","Beautiful Silene","1/28/18"
"Stranger Things","Stranger Things 2","Chapter Nine","The Gate","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Eight","The Mind Flayer","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Four","Will the Wise","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Seven","The Lost Sister","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Six","The Spy","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Five","Dig Dug","11/1/17"
"Stranger Things","Stranger Things 2","Chapter Three","The Pollywog","10/29/17"
"Stranger Things","Stranger Things 2","Chapter Two","Trick or Treat, Freak","10/28/17"
"Stranger Things","Stranger Things 2","Chapter One","MADMAX","10/28/17"
"Stranger Things","\N","Chapter Eight","The Upside Down","4/14/17"
"Stranger Things","\N","Chapter Seven","The Bathtub","4/14/17"
"Stranger Things","\N","Chapter Six","The Monster","4/14/17"
"Stranger Things","\N","Chapter Five","The Flea and the Acrobat","4/14/17"
"Stranger Things","\N","Chapter Four","The Body","4/13/17"
"Stranger Things","\N","Chapter Three","Holly, Jolly","4/13/17"
"Stranger Things","\N","Chapter Two","The Weirdo on Maple Street","3/28/17"
"Stranger Things","\N","Chapter One","The Vanishing Of Will Byers","3/28/17"
"Spider-Woman: Agent of S.W.O.R.D.","Agent of S.W.O.R.D.","Episode 5","11/12/16"
"Spider-Woman: Agent of S.W.O.R.D.","Agent of S.W.O.R.D.","Episode 4","11/12/16"
"Spider-Woman: Agent of S.W.O.R.D.","Agent of S.W.O.R.D.","Episode 3","11/12/16"
"Spider-Woman: Agent of S.W.O.R.D.","Agent of S.W.O.R.D.","Episode 2","11/12/16"
"Spider-Woman: Agent of S.W.O.R.D.","Agent of S.W.O.R.D.","Episode 1","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 6","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 5","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 4","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 3","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 2","11/12/16"
"Astonishing X-Men: Gifted","Gifted","Episode 1","11/12/16"
"The Legend of Korra","Book Two: Spirits: Beginnings","Part 2","9/18/16"
"The Legend of Korra","Book Two: Spirits: Beginnings","Part 1","9/18/16"
"The Legend of Korra","Book Two: Spirits: Civil Wars","Part 2","9/18/16"
"The Legend of Korra","Book Two: Spirits: Civil Wars","Part 1","9/18/16"
"The Legend of Korra","Book Three: Change","Venom of the Red Lotus","9/19/16"
"The Legend of Korra","Book Three: Change","Enter the Void","9/19/16"
"The Legend of Korra","Book Three: Change","Long Live the Queen","9/19/16"
"The Legend of Korra","Book Three: Change","The Ultimatum","9/19/16"
"The Legend of Korra","Book Three: Change","The Stakeout","9/18/16"
"The Legend of Korra","Book Three: Change","The Terror Within","9/18/16"
"The Legend of Korra","Book Three: Change","Original Airbenders","9/18/16"
"The Legend of Korra","Book Three: Change","Old Wounds","9/18/16"
"The Legend of Korra","Book Three: Change","The Metal Clan","9/18/16"
"The Legend of Korra","Book Three: Change","In Harm's Way","9/18/16"
"The Legend of Korra","Book Three: Change","The Earth Queen","9/18/16"
"The Legend of Korra","Book Three: Change","Rebirth","9/18/16"
"The Legend of Korra","Book Three: Change","A Breath of Fresh Air","9/18/16"
"The Legend of Korra","Book Two: Spirits","Light in the Dark","9/18/16"
"The Legend of Korra","Book Two: Spirits","Darkness Falls","9/18/16"
"The Legend of Korra","Book Two: Spirits","Harmonic Convergence","9/18/16"
"The Legend of Korra","Book Two: Spirits","Night of a Thousand Stars","9/18/16"
"The Legend of Korra","Book Two: Spirits","A New Spiritual Age","9/18/16"
"The Legend of Korra","Book Two: Spirits","The Guide","9/18/16"
"The Legend of Korra","Book Two: Spirits","The Sting","9/18/16"
"The Legend of Korra","Book Two: Spirits","Peacekeepers","9/18/16"
"The Legend of Korra","Book Two: Spirits","The Southern Lights","9/18/16"
"The Legend of Korra","Book Two: Spirits","Rebel Spirit","9/16/16"
"The Legend of Korra","Book One: Air","Endgame","9/16/16"
"The Legend of Korra","Book One: Air","Skeletons in the Closet","9/16/16"
"The Legend of Korra","Book One: Air","Turning the Tides","9/16/16"
"The Legend of Korra","Book One: Air","Out of the Past","9/15/16"
"The Legend of Korra","Book One: Air","When Extremes Meet","9/15/16"
"The Legend of Korra","Book One: Air","The Aftermath","9/15/16"
"The Legend of Korra","Book One: Air","And the Winner Is…","9/14/16"
"The Legend of Korra","Book One: Air","The Spirit of Competition","9/14/16"
"The Legend of Korra","Book One: Air","The Voice in the Night","9/14/16"
"The Legend of Korra","Book One: Air","The Revelation","9/14/16"
"The Legend of Korra","Book One: Air","A Leaf in the Wind","9/13/16"
"The Legend of Korra","Book One: Air","Welcome to Republic City","9/13/16"
"The Legend of Korra","Book Four: Balance","The Last Stand","9/13/16"
"The Legend of Korra","Book Four: Balance","Day of the Colossus","7/30/16"
